dtime,timestamp,open,high,low,close,vwap,volume,trades,pair
2024-11-15 16:00:00,1731686400,83962.0,86150.0,83920.1,85751.2,85053.9,230.5496007,5596,XXBTZEUR
2024-11-15 20:00:00,1731700800,85758.3,87040.0,85717.0,86291.4,86607.6,263.11132362,6859,XXBTZEUR
2024-11-16 00:00:00,1731715200,86272.0,86869.0,86153.3,86448.1,86423.3,164.31788004,2201,XXBTZEUR
2024-11-16 04:00:00,1731729600,86448.3,86868.8,86272.9,86357.8,86535.5,44.73915577,2835,XXBTZEUR
2024-11-16 08:00:00,1731744000,86357.7,86700.0,86200.0,86303.0,86496.4,96.17335271,4660,XXBTZEUR
2024-11-16 12:00:00,1731758400,86303.1,86416.5,85278.0,85653.4,85854.9,108.49465562,5292,XXBTZEUR
2024-11-16 16:00:00,1731772800,85653.5,86476.8,85400.0,86216.0,86034.2,68.49374846,4311,XXBTZEUR
2024-11-16 20:00:00,1731787200,86216.0,86279.4,85522.1,85643.2,85889.7,60.46785143,2864,XXBTZEUR
2024-11-17 00:00:00,1731801600,85710.1,85978.2,84649.7,85344.1,85348.8,30.63427651,1959,XXBTZEUR
2024-11-17 04:00:00,1731816000,85344.1,85907.2,85273.5,85578.9,85567.5,18.00350749,2477,XXBTZEUR
2024-11-17 08:00:00,1731830400,85578.9,86400.0,85535.7,85772.6,86039.7,63.11779549,3802,XXBTZEUR
2024-11-17 12:00:00,1731844800,85772.6,86186.0,85100.0,85408.1,85544.1,72.60099378,3783,XXBTZEUR
2024-11-17 16:00:00,1731859200,85408.2,85726.3,84854.5,85191.3,85268.3,59.27039502,4355,XXBTZEUR
2024-11-17 20:00:00,1731873600,85191.3,85360.1,84095.0,85101.0,84748.7,88.36665696,4259,XXBTZEUR
2024-11-18 00:00:00,1731888000,85101.0,85999.9,84922.2,85922.1,85367.7,50.75860024,2087,XXBTZEUR
2024-11-18 04:00:00,1731902400,85926.0,87322.1,85700.0,86851.3,86690.5,123.46375467,6257,XXBTZEUR
2024-11-18 08:00:00,1731916800,86851.4,87231.9,85416.6,85595.1,86677.8,181.76218268,8324,XXBTZEUR
